**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   1.74E+09
     Initial norm_grad is   :   7.35E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    1.74E+09    7.35E+03    1.00E+00    1.00E+00       0       0
     1    8.07E+08    5.69E+03    4.63E-01    3.12E-02       5       6
     2    5.47E+08    4.30E+03    3.14E-01    3.12E-01       1       8
     3    3.34E+08    2.90E+03    1.92E-01    3.12E-01       0       9
     4    2.24E+08    2.01E+03    1.28E-01    3.12E-01       0      10
     5    1.53E+08    1.48E+03    8.78E-02    3.12E-01       0      11
     6    1.12E+08    8.09E+02    6.41E-02    3.12E-01       0      12
     7    9.32E+07    6.05E+02    5.35E-02    3.12E-01       0      13
     8    7.83E+07    6.44E+02    4.49E-02    3.12E-01       0      14
     9    6.85E+07    5.49E+02    3.93E-02    3.12E-01       0      15
    10    6.04E+07    5.41E+02    3.46E-02    3.12E-01       0      16
    11    5.35E+07    5.16E+02    3.07E-02    3.12E-01       0      17
    12    4.67E+07    5.90E+02    2.68E-02    3.12E-01       0      18
    13    4.22E+07    4.96E+02    2.42E-02    3.12E-01       0      19
    14    3.78E+07    4.23E+02    2.17E-02    3.12E-01       0      20
    15    3.47E+07    3.31E+02    1.99E-02    3.12E-01       0      21
    16    3.18E+07    3.03E+02    1.82E-02    3.12E-01       0      22
    17    2.95E+07    2.54E+02    1.69E-02    3.12E-01       0      23
    18    2.76E+07    2.50E+02    1.58E-02    3.12E-01       0      24
