**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   3.77E+08
     Initial norm_grad is   :   9.90E+02
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    3.77E+08    9.90E+02    1.00E+00    1.00E+00       0       0
     1    3.72E+08    9.41E+02    9.86E-01    1.00E+00       0       1
     2    3.60E+08    2.13E+03    9.55E-01    1.00E+00       0       2
     3    3.27E+08    2.02E+03    8.66E-01    1.00E+00       0       3
     4    1.86E+08    9.31E+02    4.94E-01    1.00E+00       0       4
     5    1.61E+08    5.77E+02    4.26E-01    1.00E+00       0       5
     6    1.51E+08    3.38E+02    4.01E-01    1.00E+00       0       6
     7    1.47E+08    4.10E+02    3.91E-01    1.00E+00       0       7
     8    1.42E+08    4.22E+02    3.78E-01    1.00E+00       0       8
