**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   2.15E+08
     Initial norm_grad is   :   1.22E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    2.15E+08    1.22E+03    1.00E+00    1.00E+00       0       0
     1    1.62E+08    9.21E+02    7.54E-01    1.00E+00       0       1
     2    1.59E+08    5.92E+03    7.41E-01    2.50E-01       2       4
     3    1.38E+08    4.59E+03    6.43E-01    2.50E-01       0       5
     4    1.24E+08    3.49E+03    5.79E-01    2.50E-01       0       6
     5    1.16E+08    2.64E+03    5.40E-01    2.50E-01       0       7
     6    1.11E+08    2.00E+03    5.16E-01    2.50E-01       0       8
     7    1.07E+08    1.51E+03    5.00E-01    2.50E-01       0       9
