**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   1.71E+08
     Initial norm_grad is   :   1.29E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    1.71E+08    1.29E+03    1.00E+00    1.00E+00       0       0
     1    8.12E+07    7.32E+02    4.75E-01    5.00E-01       1       2
     2    6.68E+07    5.75E+02    3.91E-01    5.00E-01       0       3
     3    4.00E+07    3.19E+02    2.34E-01    5.00E-01       0       4
     4    2.67E+07    1.83E+02    1.56E-01    5.00E-01       0       5
     5    1.96E+07    1.22E+02    1.15E-01    5.00E-01       0       6
     6    1.50E+07    9.09E+01    8.76E-02    5.00E-01       0       7
     7    1.19E+07    6.88E+01    6.94E-02    5.00E-01       0       8
