**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   8.86E+08
     Initial norm_grad is   :   7.51E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    8.86E+08    7.51E+03    1.00E+00    1.00E+00       0       0
     1    5.35E+08    6.99E+03    6.04E-01    1.56E-02       6       7
     2    4.36E+08    6.10E+03    4.93E-01    1.56E-01       1       9
     3    3.38E+08    5.11E+03    3.81E-01    1.56E-01       0      10
     4    2.65E+08    4.31E+03    2.99E-01    1.56E-01       0      11
     5    2.08E+08    3.61E+03    2.35E-01    1.56E-01       0      12
     6    1.65E+08    3.02E+03    1.86E-01    1.56E-01       0      13
     7    1.28E+08    2.49E+03    1.45E-01    1.56E-01       0      14
     8    1.01E+08    1.95E+03    1.14E-01    1.56E-01       0      15
     9    8.25E+07    1.57E+03    9.31E-02    1.56E-01       0      16
    10    6.84E+07    1.24E+03    7.73E-02    1.56E-01       0      17
    11    5.90E+07    9.82E+02    6.66E-02    1.56E-01       0      18
    12    5.17E+07    7.95E+02    5.84E-02    1.56E-01       0      19
    13    4.57E+07    6.11E+02    5.16E-02    1.56E-01       0      20
    14    4.13E+07    4.89E+02    4.66E-02    1.56E-01       0      21
    15    3.75E+07    3.93E+02    4.23E-02    1.56E-01       0      22
    16    3.47E+07    3.31E+02    3.91E-02    1.56E-01       0      23
    17    3.21E+07    3.20E+02    3.62E-02    1.56E-01       0      24
