**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   7.33E+07
     Initial norm_grad is   :   1.99E+02
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    7.33E+07    1.99E+02    1.00E+00    1.00E+00       0       0
     1    3.37E+07    3.28E+02    4.59E-01    5.50E+01       3       4
     2    2.31E+07    1.79E+02    3.16E-01    8.59E-01       6      11
     3    1.30E+07    1.06E+02    1.77E-01    8.59E-01       0      12
     4    6.69E+06    1.11E+02    9.12E-02    8.59E-01       0      13
     5    4.70E+06    6.09E+01    6.40E-02    8.59E-01       0      14
     6    2.67E+06    3.18E+01    3.64E-02    8.59E-01       0      15
     7    1.54E+06    2.29E+01    2.10E-02    8.59E-01       0      16
     8    8.82E+05    7.89E+00    1.20E-02    8.59E-01       0      17
     9    6.84E+05    6.81E+00    9.33E-03    8.59E-01       0      18
    10    4.30E+05    5.62E+00    5.87E-03    8.59E-01       0      19
    11    3.44E+05    8.05E+00    4.69E-03    8.59E-01       0      20
    12    3.00E+05    2.40E+00    4.09E-03    8.59E-01       0      21
    13    2.76E+05    2.02E+00    3.77E-03    8.59E-01       0      22
    14    2.34E+05    1.69E+00    3.18E-03    8.59E-01       0      23
    15    1.94E+05    1.86E+00    2.64E-03    8.59E-01       0      24
    16    1.71E+05    3.79E+00    2.33E-03    8.59E-01       0      25
    17    1.59E+05    1.15E+00    2.17E-03    8.59E-01       0      26
    18    1.54E+05    6.85E-01    2.10E-03    8.59E-01       0      27
    19    1.47E+05    7.66E-01    2.00E-03    8.59E-01       0      28
    20    1.34E+05    9.13E-01    1.82E-03    8.59E-01       0      29
    21    1.13E+05    9.90E-01    1.54E-03    8.59E-01       0      30
    22    9.61E+04    1.40E+00    1.31E-03    8.59E-01       0      31
    23    9.09E+04    6.61E-01    1.24E-03    8.59E-01       0      32
    24    8.74E+04    5.12E-01    1.19E-03    8.59E-01       0      33
    25    8.38E+04    7.99E-01    1.14E-03    8.59E-01       0      34
    26    8.11E+04    1.03E+00    1.11E-03    8.59E-01       0      35
    27    7.98E+04    6.47E-01    1.09E-03    8.59E-01       0      36
    28    7.69E+04    4.33E-01    1.05E-03    8.59E-01       0      37
    29    7.58E+04    3.68E-01    1.03E-03    8.59E-01       0      38
    30    7.14E+04    4.38E-01    9.73E-04    8.59E-01       0      39
    31    6.77E+04    5.05E-01    9.23E-04    8.59E-01       0      40
    32    6.43E+04    4.78E-01    8.77E-04    8.59E-01       0      41
    33    6.10E+04    3.51E-01    8.31E-04    8.59E-01       0      42
    34    5.99E+04    8.36E-01    8.17E-04    8.59E-01       0      43
    35    5.86E+04    4.91E-01    7.99E-04    8.59E-01       0      44
    36    5.61E+04    3.76E-01    7.65E-04    8.59E-01       0      45
    37    5.39E+04    3.54E-01    7.35E-04    8.59E-01       0      46
    38    5.18E+04    3.57E-01    7.07E-04    8.59E-01       0      47
    39    4.93E+04    1.05E+00    6.72E-04    8.59E-01       0      48
    40    4.84E+04    4.17E-01    6.60E-04    8.59E-01       0      49
    41    4.78E+04    2.27E-01    6.52E-04    8.59E-01       0      50
    42    4.67E+04    2.34E-01    6.37E-04    8.59E-01       0      51
    43    4.43E+04    4.43E-01    6.03E-04    8.59E-01       0      52
    44    4.29E+04    5.93E-01    5.85E-04    8.59E-01       0      53
