**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   9.92E+07
     Initial norm_grad is   :   8.49E+02
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    9.92E+07    8.49E+02    1.00E+00    1.00E+00       0       0
     1    9.23E+07    5.03E+02    9.30E-01    1.00E+00       0       1
     2    8.80E+07    5.37E+02    8.88E-01    1.00E+00       0       2
     3    8.68E+07    6.87E+02    8.75E-01    5.00E-01       1       4
     4    8.52E+07    4.98E+02    8.59E-01    5.00E-01       0       5
     5    8.29E+07    3.49E+02    8.35E-01    5.00E-01       0       6
     6    8.02E+07    3.15E+02    8.08E-01    5.00E-01       0       7
     7    7.77E+07    3.24E+02    7.83E-01    5.00E-01       0       8
     8    7.51E+07    3.37E+02    7.57E-01    5.00E-01       0       9
