**********************************************************************
                  l-BFGS ALGORITHM                
**********************************************************************
     Convergence criterion  :   1.00E-08
     Niter_max              :      50
     Initial cost is        :   2.00E+08
     Initial norm_grad is   :   1.02E+03
**********************************************************************
   Niter     fk        ||gk||      fk/f0       alpha       nls     ngrad    
     0    2.00E+08    1.02E+03    1.00E+00    1.00E+00       0       0
     1    1.99E+08    6.82E+02    9.96E-01    1.00E+00       0       1
     2    1.95E+08    5.00E+02    9.77E-01    1.00E+00       0       2
     3    1.89E+08    4.29E+02    9.44E-01    1.00E+00       0       3
     4    1.76E+08    5.28E+02    8.78E-01    1.00E+00       0       4
     5    1.72E+08    9.70E+02    8.61E-01    1.00E+00       0       5
     6    1.57E+08    7.91E+02    7.86E-01    1.00E+00       0       6
     7    1.43E+08    4.28E+02    7.13E-01    1.00E+00       0       7
     8    1.28E+08    2.87E+02    6.40E-01    1.00E+00       0       8
